title,text,type,combined_text,cleaned_text,label
Free Gift Card,You won a $5000 Amazon gift card! Claim: http://scam-site.com,spam,Free Gift Card You won a $5000 Amazon gift card! Claim: http://scam-site.com,free gift card you won a $5000 amazon gift card! claim:,1
Dinner Plans,Want to grab dinner Monday? Let me know! - Emily,not spam,Dinner Plans Want to grab dinner Monday? Let me know! - Emily,dinner plans want to grab dinner monday? let me know! - emily,0
Project Update,Here's the status update on project Emily. Review attached.,not spam,Project Update Here's the status update on project Emily. Review attached.,project update here's the status update on project emily. review attached.,0
Code Review Request,Can you review PR #UA456 when you get a chance? Thanks!,not spam,Code Review Request Can you review PR #UA456 when you get a chance? Thanks!,code review request can you review pr #ua456 when you get a chance? thanks!,0
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam,URGENT: Account Suspended Your account will be closed unless you verify: http://scam-site.com,urgent: account suspended your account will be closed unless you verify:,1
Dinner Plans,Want to grab dinner Tuesday? Let me know! - John,not spam,Dinner Plans Want to grab dinner Tuesday? Let me know! - John,dinner plans want to grab dinner tuesday? let me know! - john,0
Meeting Reminder,Team meeting tomorrow at 9:00 AM in Conference Room A. See you there!,not spam,Meeting Reminder Team meeting tomorrow at 9:00 AM in Conference Room A. See you there!,meeting reminder team meeting tomorrow at 9:00 am in conference room a. see you there!,0
Cheap Medications,Buy Cialis without prescription! Huge discounts! http://scam-site.com,spam,Cheap Medications Buy Cialis without prescription! Huge discounts! http://scam-site.com,cheap medications buy cialis without prescription! huge discounts!,1
Appointment Reminder,Your appointment with Dr. Williams is on Nov 27 at 9:00 AM.,not spam,Appointment Reminder Your appointment with Dr. Williams is on Nov 27 at 9:00 AM.,appointment reminder your appointment with dr. williams is on nov 27 at 9:00 am.,0
Cheap Medications,Buy Viagra without prescription! Huge discounts! http://scam-site.com,spam,Cheap Medications Buy Viagra without prescription! Huge discounts! http://scam-site.com,cheap medications buy viagra without prescription! huge discounts!,1
Happy Birthday,Happy birthday! Hope you have an amazing day! - Lisa,not spam,Happy Birthday Happy birthday! Hope you have an amazing day! - Lisa,happy birthday happy birthday! hope you have an amazing day! - lisa,0
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam,URGENT: Account Suspended Your account will be closed unless you verify: http://scam-site.com,urgent: account suspended your account will be closed unless you verify:,1
Appointment Reminder,Your appointment with Dr. Smith is on Nov 26 at 3:30 PM.,not spam,Appointment Reminder Your appointment with Dr. Smith is on Nov 26 at 3:30 PM.,appointment reminder your appointment with dr. smith is on nov 26 at 3:30 pm.,0
Your Computer Has Virus,URGENT! 10 viruses detected! Fix now: http://scam-site.com,spam,Your Computer Has Virus URGENT! 10 viruses detected! Fix now: http://scam-site.com,your computer has virus urgent! 10 viruses detected! fix now:,1
Dinner Plans,Want to grab dinner Tuesday? Let me know! - Alex,not spam,Dinner Plans Want to grab dinner Tuesday? Let me know! - Alex,dinner plans want to grab dinner tuesday? let me know! - alex,0
Class Reminder,English 201 class is at 2:00 PM in room 201. Don't forget homework!,not spam,Class Reminder English 201 class is at 2:00 PM in room 201. Don't forget homework!,class reminder english 201 class is at 2:00 pm in room 201. don't forget homework!,0
Utility Bill,Your gas bill is $167. Due: Nov 27. Pay at paybill.com,not spam,Utility Bill Your gas bill is $167. Due: Nov 27. Pay at paybill.com,utility bill your gas bill is $167. due: nov 27. pay at paybill.com,0
Code Review Request,Can you review PR #AA123 when you get a chance? Thanks!,not spam,Code Review Request Can you review PR #AA123 when you get a chance? Thanks!,code review request can you review pr #aa123 when you get a chance? thanks!,0
Gym Membership Renewal,Your gym membership expires Dec 1. Renew at front desk.,not spam,Gym Membership Renewal Your gym membership expires Dec 1. Renew at front desk.,gym membership renewal your gym membership expires dec 1. renew at front desk.,0
Your Order Confirmation,Order #250884864 confirmed. Delivery: Nov 26. Track: 1Z999AA10123455368,not spam,Your Order Confirmation Order #250884864 confirmed. Delivery: Nov 26. Track: 1Z999AA10123455368,your order confirmation order #250884864 confirmed. delivery: nov 26. track: 1z999aa10123455368,0
Work From Home Assembly,Assemble products at home! $45/hour! http://scam-site.com,spam,Work From Home Assembly Assemble products at home! $45/hour! http://scam-site.com,work from home assembly assemble products at home! $45/hour!,1
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam,Enlarge Your Size Grow 4 inches naturally! Guaranteed! http://scam-site.com,enlarge your size grow 4 inches naturally! guaranteed!,1
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam,URGENT: Account Suspended Your account will be closed unless you verify: http://scam-site.com,urgent: account suspended your account will be closed unless you verify:,1
WIN BIG MONEY!,You've won $25000! Click here to claim: http://scam-site.com,spam,WIN BIG MONEY! You've won $25000! Click here to claim: http://scam-site.com,win big money! you've won $25000! click here to claim:,1
Your Computer Has Virus,URGENT! 20 viruses detected! Fix now: http://scam-site.com,spam,Your Computer Has Virus URGENT! 20 viruses detected! Fix now: http://scam-site.com,your computer has virus urgent! 20 viruses detected! fix now:,1
Appointment Reminder,Your appointment with Dr. Williams is on Dec 1 at 10:30 AM.,not spam,Appointment Reminder Your appointment with Dr. Williams is on Dec 1 at 10:30 AM.,appointment reminder your appointment with dr. williams is on dec 1 at 10:30 am.,0
Enlarge Your Size,Grow 2 inches naturally! Guaranteed! http://scam-site.com,spam,Enlarge Your Size Grow 2 inches naturally! Guaranteed! http://scam-site.com,enlarge your size grow 2 inches naturally! guaranteed!,1
Hot Singles Near You,Meet 10000 singles in your area tonight! http://scam-site.com,spam,Hot Singles Near You Meet 10000 singles in your area tonight! http://scam-site.com,hot singles near you meet 10000 singles in your area tonight!,1
Dinner Plans,Want to grab dinner Monday? Let me know! - Mike,not spam,Dinner Plans Want to grab dinner Monday? Let me know! - Mike,dinner plans want to grab dinner monday? let me know! - mike,0
Project Update,Here's the status update on project Sarah. Review attached.,not spam,Project Update Here's the status update on project Sarah. Review attached.,project update here's the status update on project sarah. review attached.,0
Your Computer Has Virus,URGENT! 10000 viruses detected! Fix now: http://scam-site.com,spam,Your Computer Has Virus URGENT! 10000 viruses detected! Fix now: http://scam-site.com,your computer has virus urgent! 10000 viruses detected! fix now:,1
Free iPhone Giveaway,Get a FREE iPhone 15 Pro! Limited time! http://scam-site.com,spam,Free iPhone Giveaway Get a FREE iPhone 15 Pro! Limited time! http://scam-site.com,free iphone giveaway get a free iphone 15 pro! limited time!,1
Happy Birthday,Happy birthday! Hope you have an amazing day! - Lisa,not spam,Happy Birthday Happy birthday! Hope you have an amazing day! - Lisa,happy birthday happy birthday! hope you have an amazing day! - lisa,0
Tax Refund Available,Claim your $100000 tax refund now: http://scam-site.com,spam,Tax Refund Available Claim your $100000 tax refund now: http://scam-site.com,tax refund available claim your $100000 tax refund now:,1
Tax Refund Available,Claim your $5000 tax refund now: http://scam-site.com,spam,Tax Refund Available Claim your $5000 tax refund now: http://scam-site.com,tax refund available claim your $5000 tax refund now:,1
Parent-Teacher Conference,Conference scheduled Dec 1 at 5:00 PM. Please confirm.,not spam,Parent-Teacher Conference Conference scheduled Dec 1 at 5:00 PM. Please confirm.,parent-teacher conference conference scheduled dec 1 at 5:00 pm. please confirm.,0
Bitcoin Investment,Make 200% returns with our crypto bot! http://scam-site.com,spam,Bitcoin Investment Make 200% returns with our crypto bot! http://scam-site.com,bitcoin investment make 200% returns with our crypto bot!,1
Book Club Meeting,Book club meets Tuesday at 9:00 AM. We're discussing 'To Kill a Mockingbird'.,not spam,Book Club Meeting Book club meets Tuesday at 9:00 AM. We're discussing 'To Kill a Mockingbird'.,book club meeting book club meets tuesday at 9:00 am. we're discussing 'to kill a mockingbird'.,0
Class Reminder,English 201 class is at 10:30 AM in room B12. Don't forget homework!,not spam,Class Reminder English 201 class is at 10:30 AM in room B12. Don't forget homework!,class reminder english 201 class is at 10:30 am in room b12. don't forget homework!,0
Parent-Teacher Conference,Conference scheduled Dec 5 at 5:00 PM. Please confirm.,not spam,Parent-Teacher Conference Conference scheduled Dec 5 at 5:00 PM. Please confirm.,parent-teacher conference conference scheduled dec 5 at 5:00 pm. please confirm.,0
Bitcoin Investment,Make 200% returns with our crypto bot! http://scam-site.com,spam,Bitcoin Investment Make 200% returns with our crypto bot! http://scam-site.com,bitcoin investment make 200% returns with our crypto bot!,1
Utility Bill,Your water bill is $43. Due: Nov 25. Pay at company.gov,not spam,Utility Bill Your water bill is $43. Due: Nov 25. Pay at company.gov,utility bill your water bill is $43. due: nov 25. pay at company.gov,0
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam,Your Package Delivery Failed Redeliver your package here: http://scam-site.com,your package delivery failed redeliver your package here:,1
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam,Your Package Delivery Failed Redeliver your package here: http://scam-site.com,your package delivery failed redeliver your package here:,1
Utility Bill,Your water bill is $142. Due: Nov 25. Pay at utility.com,not spam,Utility Bill Your water bill is $142. Due: Nov 25. Pay at utility.com,utility bill your water bill is $142. due: nov 25. pay at utility.com,0
Class Reminder,CS 301 class is at 9:00 AM in room A44. Don't forget homework!,not spam,Class Reminder CS 301 class is at 9:00 AM in room A44. Don't forget homework!,class reminder cs 301 class is at 9:00 am in room a44. don't forget homework!,0
Free Gift Card,You won a $1000000 Walmart gift card! Claim: http://scam-site.com,spam,Free Gift Card You won a $1000000 Walmart gift card! Claim: http://scam-site.com,free gift card you won a $1000000 walmart gift card! claim:,1
Free iPhone Giveaway,Get a FREE iPhone 14! Limited time! http://scam-site.com,spam,Free iPhone Giveaway Get a FREE iPhone 14! Limited time! http://scam-site.com,free iphone giveaway get a free iphone 14! limited time!,1
Weekend Plans,Going hiking this Monday. Want to join? Meeting at 9:00 AM.,not spam,Weekend Plans Going hiking this Monday. Want to join? Meeting at 9:00 AM.,weekend plans going hiking this monday. want to join? meeting at 9:00 am.,0
Utility Bill,Your water bill is $152. Due: Nov 25. Pay at company.gov,not spam,Utility Bill Your water bill is $152. Due: Nov 25. Pay at company.gov,utility bill your water bill is $152. due: nov 25. pay at company.gov,0
Project Update,Here's the status update on project Sarah. Review attached.,not spam,Project Update Here's the status update on project Sarah. Review attached.,project update here's the status update on project sarah. review attached.,0
Happy Birthday,Happy birthday! Hope you have an amazing day! - John,not spam,Happy Birthday Happy birthday! Hope you have an amazing day! - John,happy birthday happy birthday! hope you have an amazing day! - john,0
Appointment Reminder,Your appointment with Dr. Smith is on Nov 26 at 2:00 PM.,not spam,Appointment Reminder Your appointment with Dr. Smith is on Nov 26 at 2:00 PM.,appointment reminder your appointment with dr. smith is on nov 26 at 2:00 pm.,0
Hot Singles Near You,Meet 50 singles in your area tonight! http://scam-site.com,spam,Hot Singles Near You Meet 50 singles in your area tonight! http://scam-site.com,hot singles near you meet 50 singles in your area tonight!,1
Code Review Request,Can you review PR #AA123 when you get a chance? Thanks!,not spam,Code Review Request Can you review PR #AA123 when you get a chance? Thanks!,code review request can you review pr #aa123 when you get a chance? thanks!,0
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam,Enlarge Your Size Grow 4 inches naturally! Guaranteed! http://scam-site.com,enlarge your size grow 4 inches naturally! guaranteed!,1
Nigerian Prince Email,I need your help transferring $100000. You get 200%!,spam,Nigerian Prince Email I need your help transferring $100000. You get 200%!,nigerian prince email i need your help transferring $100000. you get 200%!,1
Your Order Confirmation,Order #159187958 confirmed. Delivery: Dec 1. Track: 1Z999AA10123452878,not spam,Your Order Confirmation Order #159187958 confirmed. Delivery: Dec 1. Track: 1Z999AA10123452878,your order confirmation order #159187958 confirmed. delivery: dec 1. track: 1z999aa10123452878,0
Cheap Medications,Buy Cialis without prescription! Huge discounts! http://scam-site.com,spam,Cheap Medications Buy Cialis without prescription! Huge discounts! http://scam-site.com,cheap medications buy cialis without prescription! huge discounts!,1
Tax Refund Available,Claim your $1000 tax refund now: http://scam-site.com,spam,Tax Refund Available Claim your $1000 tax refund now: http://scam-site.com,tax refund available claim your $1000 tax refund now:,1
Bitcoin Investment,Make 100% returns with our crypto bot! http://scam-site.com,spam,Bitcoin Investment Make 100% returns with our crypto bot! http://scam-site.com,bitcoin investment make 100% returns with our crypto bot!,1
Work From Home Assembly,Assemble products at home! $25/hour! http://scam-site.com,spam,Work From Home Assembly Assemble products at home! $25/hour! http://scam-site.com,work from home assembly assemble products at home! $25/hour!,1
Happy Birthday,Happy birthday! Hope you have an amazing day! - John,not spam,Happy Birthday Happy birthday! Hope you have an amazing day! - John,happy birthday happy birthday! hope you have an amazing day! - john,0
Book Club Meeting,Book club meets Monday at 10:30 AM. We're discussing '1984'.,not spam,Book Club Meeting Book club meets Monday at 10:30 AM. We're discussing '1984'.,book club meeting book club meets monday at 10:30 am. we're discussing '1984'.,0
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam,Enlarge Your Size Grow 4 inches naturally! Guaranteed! http://scam-site.com,enlarge your size grow 4 inches naturally! guaranteed!,1
Make Money From Home,Earn $100000 per day working from home! http://scam-site.com,spam,Make Money From Home Earn $100000 per day working from home! http://scam-site.com,make money from home earn $100000 per day working from home!,1
Free iPhone Giveaway,Get a FREE iPhone 13! Limited time! http://scam-site.com,spam,Free iPhone Giveaway Get a FREE iPhone 13! Limited time! http://scam-site.com,free iphone giveaway get a free iphone 13! limited time!,1
Work From Home Assembly,Assemble products at home! $55/hour! http://scam-site.com,spam,Work From Home Assembly Assemble products at home! $55/hour! http://scam-site.com,work from home assembly assemble products at home! $55/hour!,1
Dinner Plans,Want to grab dinner Tuesday? Let me know! - John,not spam,Dinner Plans Want to grab dinner Tuesday? Let me know! - John,dinner plans want to grab dinner tuesday? let me know! - john,0
Free iPhone Giveaway,Get a FREE iPhone 14! Limited time! http://scam-site.com,spam,Free iPhone Giveaway Get a FREE iPhone 14! Limited time! http://scam-site.com,free iphone giveaway get a free iphone 14! limited time!,1
Class Reminder,Biology 102 class is at 2:00 PM in room 305. Don't forget homework!,not spam,Class Reminder Biology 102 class is at 2:00 PM in room 305. Don't forget homework!,class reminder biology 102 class is at 2:00 pm in room 305. don't forget homework!,0
Meeting Reminder,Team meeting tomorrow at 10:30 AM in Room 301. See you there!,not spam,Meeting Reminder Team meeting tomorrow at 10:30 AM in Room 301. See you there!,meeting reminder team meeting tomorrow at 10:30 am in room 301. see you there!,0
Dinner Plans,Want to grab dinner Tuesday? Let me know! - Mike,not spam,Dinner Plans Want to grab dinner Tuesday? Let me know! - Mike,dinner plans want to grab dinner tuesday? let me know! - mike,0
Tax Refund Available,Claim your $10000 tax refund now: http://scam-site.com,spam,Tax Refund Available Claim your $10000 tax refund now: http://scam-site.com,tax refund available claim your $10000 tax refund now:,1
Work From Home Assembly,Assemble products at home! $45/hour! http://scam-site.com,spam,Work From Home Assembly Assemble products at home! $45/hour! http://scam-site.com,work from home assembly assemble products at home! $45/hour!,1
Dinner Plans,Want to grab dinner Saturday? Let me know! - John,not spam,Dinner Plans Want to grab dinner Saturday? Let me know! - John,dinner plans want to grab dinner saturday? let me know! - john,0
Project Update,Here's the status update on project John. Review attached.,not spam,Project Update Here's the status update on project John. Review attached.,project update here's the status update on project john. review attached.,0
Utility Bill,Your electric bill is $97. Due: Nov 27. Pay at company.gov,not spam,Utility Bill Your electric bill is $97. Due: Nov 27. Pay at company.gov,utility bill your electric bill is $97. due: nov 27. pay at company.gov,0
Hot Singles Near You,Meet 10 singles in your area tonight! http://scam-site.com,spam,Hot Singles Near You Meet 10 singles in your area tonight! http://scam-site.com,hot singles near you meet 10 singles in your area tonight!,1
Free iPhone Giveaway,Get a FREE iPhone 13! Limited time! http://scam-site.com,spam,Free iPhone Giveaway Get a FREE iPhone 13! Limited time! http://scam-site.com,free iphone giveaway get a free iphone 13! limited time!,1
Your Computer Has Virus,URGENT! 100 viruses detected! Fix now: http://scam-site.com,spam,Your Computer Has Virus URGENT! 100 viruses detected! Fix now: http://scam-site.com,your computer has virus urgent! 100 viruses detected! fix now:,1
Make Money From Home,Earn $100000 per month working from home! http://scam-site.com,spam,Make Money From Home Earn $100000 per month working from home! http://scam-site.com,make money from home earn $100000 per month working from home!,1
Class Reminder,Math 101 class is at 3:30 PM in room B12. Don't forget homework!,not spam,Class Reminder Math 101 class is at 3:30 PM in room B12. Don't forget homework!,class reminder math 101 class is at 3:30 pm in room b12. don't forget homework!,0
Work From Home Assembly,Assemble products at home! $45/hour! http://scam-site.com,spam,Work From Home Assembly Assemble products at home! $45/hour! http://scam-site.com,work from home assembly assemble products at home! $45/hour!,1
Bitcoin Investment,Make 100% returns with our crypto bot! http://scam-site.com,spam,Bitcoin Investment Make 100% returns with our crypto bot! http://scam-site.com,bitcoin investment make 100% returns with our crypto bot!,1
Tax Refund Available,Claim your $1000000 tax refund now: http://scam-site.com,spam,Tax Refund Available Claim your $1000000 tax refund now: http://scam-site.com,tax refund available claim your $1000000 tax refund now:,1
Work From Home Assembly,Assemble products at home! $25/hour! http://scam-site.com,spam,Work From Home Assembly Assemble products at home! $25/hour! http://scam-site.com,work from home assembly assemble products at home! $25/hour!,1
Free iPhone Giveaway,Get a FREE iPhone 13! Limited time! http://scam-site.com,spam,Free iPhone Giveaway Get a FREE iPhone 13! Limited time! http://scam-site.com,free iphone giveaway get a free iphone 13! limited time!,1
Project Update,Here's the status update on project John. Review attached.,not spam,Project Update Here's the status update on project John. Review attached.,project update here's the status update on project john. review attached.,0
Hot Singles Near You,Meet 10000 singles in your area tonight! http://scam-site.com,spam,Hot Singles Near You Meet 10000 singles in your area tonight! http://scam-site.com,hot singles near you meet 10000 singles in your area tonight!,1
Nigerian Prince Email,I need your help transferring $1000000. You get 30%!,spam,Nigerian Prince Email I need your help transferring $1000000. You get 30%!,nigerian prince email i need your help transferring $1000000. you get 30%!,1
Free iPhone Giveaway,Get a FREE iPhone 14! Limited time! http://scam-site.com,spam,Free iPhone Giveaway Get a FREE iPhone 14! Limited time! http://scam-site.com,free iphone giveaway get a free iphone 14! limited time!,1
