title,text,type
Weekend Plans,Going hiking this Monday. Want to join? Meeting at 5:00 PM.,not spam
Weekend Plans,Going hiking this this weekend. Want to join? Meeting at 3:30 PM.,not spam
Parent-Teacher Conference,Conference scheduled Dec 5 at 2:00 PM. Please confirm.,not spam
Parent-Teacher Conference,Conference scheduled Nov 25 at 2:00 PM. Please confirm.,not spam
Code Review Request,Can you review PR #DL789 when you get a chance? Thanks!,not spam
Dinner Plans,Want to grab dinner Friday? Let me know! - Sarah,not spam
Tax Refund Available,Claim your $100000 tax refund now: http://scam-site.com,spam
Cheap Medications,Buy Viagra without prescription! Huge discounts! http://scam-site.com,spam
Parent-Teacher Conference,Conference scheduled Dec 1 at 10:30 AM. Please confirm.,not spam
Work From Home Assembly,Assemble products at home! $25/hour! http://scam-site.com,spam
Bitcoin Investment,Make 50% returns with our crypto bot! http://scam-site.com,spam
Work From Home Assembly,Assemble products at home! $55/hour! http://scam-site.com,spam
Parent-Teacher Conference,Conference scheduled Dec 5 at 5:00 PM. Please confirm.,not spam
Your Order Confirmation,Order #612234027 confirmed. Delivery: Dec 1. Track: 1Z999AA10123456665,not spam
Lose Weight Fast,Lose 10000 pounds in 14 days! No exercise! http://scam-site.com,spam
Work From Home Assembly,Assemble products at home! $35/hour! http://scam-site.com,spam
WIN BIG MONEY!,You've won $1000! Click here to claim: http://scam-site.com,spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - Lisa,not spam
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam
Your Order Confirmation,Order #649355061 confirmed. Delivery: Dec 5. Track: 1Z999AA10123452059,not spam
Flight Confirmation,Flight DL789 on Dec 5. ORD to MIA. Seat 27C.,not spam
Work From Home Assembly,Assemble products at home! $25/hour! http://scam-site.com,spam
Tax Refund Available,Claim your $5000 tax refund now: http://scam-site.com,spam
Appointment Reminder,Your appointment with Dr. Williams is on Nov 27 at 9:00 AM.,not spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - John,not spam
Weekend Plans,Going hiking this this weekend. Want to join? Meeting at 3:30 PM.,not spam
Bitcoin Investment,Make 30% returns with our crypto bot! http://scam-site.com,spam
Flight Confirmation,Flight DL789 on Nov 27. DFW to BOS. Seat 25A.,not spam
Nigerian Prince Email,I need your help transferring $5000. You get 30%!,spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - Emily,not spam
Dinner Plans,Want to grab dinner Monday? Let me know! - Emily,not spam
Work From Home Assembly,Assemble products at home! $55/hour! http://scam-site.com,spam
Flight Confirmation,Flight UA456 on Nov 26. DFW to SFO. Seat 7A.,not spam
Free iPhone Giveaway,Get a FREE iPhone 15 Pro! Limited time! http://scam-site.com,spam
Work From Home Assembly,Assemble products at home! $35/hour! http://scam-site.com,spam
Utility Bill,Your gas bill is $96. Due: Nov 27. Pay at company.gov,not spam
Work From Home Assembly,Assemble products at home! $45/hour! http://scam-site.com,spam
Bitcoin Investment,Make 100% returns with our crypto bot! http://scam-site.com,spam
Dinner Plans,Want to grab dinner Tuesday? Let me know! - Mike,not spam
Flight Confirmation,Flight UA456 on Nov 27. LAX to SFO. Seat 10B.,not spam
Cheap Medications,Buy Xanax without prescription! Huge discounts! http://scam-site.com,spam
Weekend Plans,Going hiking this Friday. Want to join? Meeting at 5:00 PM.,not spam
Weekend Plans,Going hiking this this weekend. Want to join? Meeting at 10:30 AM.,not spam
Dinner Plans,Want to grab dinner Monday? Let me know! - Sarah,not spam
Free iPhone Giveaway,Get a FREE iPhone 15 Pro! Limited time! http://scam-site.com,spam
Dinner Plans,Want to grab dinner Friday? Let me know! - Alex,not spam
Nigerian Prince Email,I need your help transferring $100000. You get 200%!,spam
Parent-Teacher Conference,Conference scheduled Nov 26 at 9:00 AM. Please confirm.,not spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Utility Bill,Your electric bill is $64. Due: Nov 27. Pay at utility.com,not spam
Lose Weight Fast,Lose 30 pounds in 14 days! No exercise! http://scam-site.com,spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - John,not spam
Project Update,Here's the status update on project Emily. Review attached.,not spam
Your Computer Has Virus,URGENT! 10000 viruses detected! Fix now: http://scam-site.com,spam
Book Club Meeting,Book club meets Friday at 9:00 AM. We're discussing 'The Great Gatsby'.,not spam
Tax Refund Available,Claim your $10000 tax refund now: http://scam-site.com,spam
Nigerian Prince Email,I need your help transferring $1000. You get 50%!,spam
Work From Home Assembly,Assemble products at home! $45/hour! http://scam-site.com,spam
Nigerian Prince Email,I need your help transferring $1000000. You get 30%!,spam
Book Club Meeting,Book club meets this weekend at 9:00 AM. We're discussing 'The Great Gatsby'.,not spam
Work From Home Assembly,Assemble products at home! $45/hour! http://scam-site.com,spam
Book Club Meeting,Book club meets this weekend at 2:00 PM. We're discussing 'To Kill a Mockingbird'.,not spam
WIN BIG MONEY!,You've won $25000! Click here to claim: http://scam-site.com,spam
Code Review Request,Can you review PR #AA123 when you get a chance? Thanks!,not spam
Nigerian Prince Email,I need your help transferring $1000. You get 50%!,spam
Project Update,Here's the status update on project Sarah. Review attached.,not spam
Tax Refund Available,Claim your $10000 tax refund now: http://scam-site.com,spam
Work From Home Assembly,Assemble products at home! $25/hour! http://scam-site.com,spam
Bitcoin Investment,Make 300% returns with our crypto bot! http://scam-site.com,spam
Code Review Request,Can you review PR #AA123 when you get a chance? Thanks!,not spam
Weekend Plans,Going hiking this this weekend. Want to join? Meeting at 10:30 AM.,not spam
Dinner Plans,Want to grab dinner this weekend? Let me know! - Emily,not spam
Free Gift Card,You won a $1000000 Target gift card! Claim: http://scam-site.com,spam
Dinner Plans,Want to grab dinner Tuesday? Let me know! - John,not spam
Parent-Teacher Conference,Conference scheduled Nov 27 at 10:30 AM. Please confirm.,not spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Meeting Reminder,Team meeting tomorrow at 9:00 AM in Room 301. See you there!,not spam
Appointment Reminder,Your appointment with Dr. Davis is on Dec 1 at 3:30 PM.,not spam
Project Update,Here's the status update on project John. Review attached.,not spam
Gym Membership Renewal,Your gym membership expires Nov 27. Renew at front desk.,not spam
Appointment Reminder,Your appointment with Dr. Brown is on Nov 27 at 9:00 AM.,not spam
Free Gift Card,You won a $1000000 Target gift card! Claim: http://scam-site.com,spam
Make Money From Home,Earn $10000 per day working from home! http://scam-site.com,spam
Utility Bill,Your electric bill is $59. Due: Nov 27. Pay at company.gov,not spam
Parent-Teacher Conference,Conference scheduled Dec 5 at 5:00 PM. Please confirm.,not spam
Make Money From Home,Earn $10000 per month working from home! http://scam-site.com,spam
Bitcoin Investment,Make 200% returns with our crypto bot! http://scam-site.com,spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Enlarge Your Size,Grow 4 inches naturally! Guaranteed! http://scam-site.com,spam
Gym Membership Renewal,Your gym membership expires Dec 1. Renew at front desk.,not spam
Your Order Confirmation,Order #745027999 confirmed. Delivery: Nov 27. Track: 1Z999AA10123452284,not spam
Free iPhone Giveaway,Get a FREE iPhone 15 Pro! Limited time! http://scam-site.com,spam
Class Reminder,Math 101 class is at 2:00 PM in room 305. Don't forget homework!,not spam
Parent-Teacher Conference,Conference scheduled Nov 26 at 5:00 PM. Please confirm.,not spam
Book Club Meeting,Book club meets Tuesday at 3:30 PM. We're discussing 'The Great Gatsby'.,not spam
Make Money From Home,Earn $1000000 per day working from home! http://scam-site.com,spam
Your Order Confirmation,Order #159187958 confirmed. Delivery: Dec 1. Track: 1Z999AA10123452878,not spam
Book Club Meeting,Book club meets Friday at 3:30 PM. We're discussing 'Pride and Prejudice'.,not spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Code Review Request,Can you review PR #UA456 when you get a chance? Thanks!,not spam
Class Reminder,Math 101 class is at 5:00 PM in room 201. Don't forget homework!,not spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Project Update,Here's the status update on project John. Review attached.,not spam
Hot Singles Near You,Meet 50 singles in your area tonight! http://scam-site.com,spam
Gym Membership Renewal,Your gym membership expires Nov 26. Renew at front desk.,not spam
Work From Home Assembly,Assemble products at home! $35/hour! http://scam-site.com,spam
Book Club Meeting,Book club meets Saturday at 3:30 PM. We're discussing 'To Kill a Mockingbird'.,not spam
Project Update,Here's the status update on project Lisa. Review attached.,not spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - Sarah,not spam
Your Package Delivery Failed,Redeliver your package here: http://scam-site.com,spam
Work From Home Assembly,Assemble products at home! $35/hour! http://scam-site.com,spam
URGENT: Account Suspended,Your account will be closed unless you verify: http://scam-site.com,spam
Your Computer Has Virus,URGENT! 100 viruses detected! Fix now: http://scam-site.com,spam
Bitcoin Investment,Make 50% returns with our crypto bot! http://scam-site.com,spam
Code Review Request,Can you review PR #DL789 when you get a chance? Thanks!,not spam
Nigerian Prince Email,I need your help transferring $10000. You get 50%!,spam
Enlarge Your Size,Grow 2 inches naturally! Guaranteed! http://scam-site.com,spam
Weekend Plans,Going hiking this Saturday. Want to join? Meeting at 3:30 PM.,not spam
Dinner Plans,Want to grab dinner Saturday? Let me know! - Emily,not spam
Flight Confirmation,Flight AA123 on Nov 27. LAX to BOS. Seat 25A.,not spam
Free iPhone Giveaway,Get a FREE iPhone 15 Pro! Limited time! http://scam-site.com,spam
Happy Birthday,Happy birthday! Hope you have an amazing day! - John,not spam
Tax Refund Available,Claim your $5000 tax refund now: http://scam-site.com,spam
Make Money From Home,Earn $25000 per week working from home! http://scam-site.com,spam
